322.665,2.2356,9,06
#BS,460453,1,2,346575.478,4070#BS,460469,1,2,346575.478,4070335.200,2.1796,7,0F
#CS,1515,1492,3D
#RCR,1518,1493,62
#BS,460493,1,2,346535.200,2.1789,7,07
#CS,1515,1498,37
#RCR,1519,1498,68
#BS,460533,1,2,346575.27,09
#BS,460549,1,2,346575.244,4070335.445,2.1790,7,04
#CS,1509,1498,3A
#RCR,1516,1499,66
#BS,460573,1,2,346575.24,4070335.445,2.1792,7,0F
#BS,460589,1,2,346575.244,4070335.445,2.1799,7,01
#CS,1515,1508,3F
#RCR,1517,15#BS,460629,1,2,346575.010,4070335.671,2.1813,7,03
#CS,1515,1506,31
#RCR,1518,1506,6F
#BS,460653,6575.010,4070335.671,2.1820,7,0E
#BS,460669,1,2,346575.010,4070335.671,2.1827,7,00
#CS,1515,1494,3B
#RCR,1515,1495,#BS,460708,1,2,346575.010,4070335.671,2.1832,7,02
#CS,1517,1496,3B
#RCR,1515,1497,6B
#BS,460733,1,2,346#BS,46071848,7,0B
#BS,460776,1,2,346574.777,4070335.916,2.1862,7,07
#CS,1515,1501,36
#RCR,1507,1502,65
#BS,460801,1,2,346535.916,2.1872,7,09
#BS,460814,1,2,346574.528,4070336.142,2.1881,7,03
#CS,1507,1495,39
#RCR,1497,1496,61#CS,1515,1498,37
#RCR,1516,1498,67
#CS,1515,1495,3A
#RCR,1517,1496,68
#BS,460899,1,2,346574.528,4070336.142,2.1923,7,0F
#BS,460913,1,2,346574.528,4070336.142,2.1932,7,0C
#CS,1515,1494,3B
#RCR,1509,1495,64
#BS,460937,1,2,346574.294,4070336.387,2.1942,7,06
#BS,460950,1,2,346574.294,4070336.387,2.1949,7,0C
#CS,1506,#BS,460975,1,2,346574.294,4070336.387,2.1956,7,05
#BS,460988,1,2,346574.294,4070#CS,1506,1504,31
#RCR,1508,1505,6D
#BS,461014,1,2,346574.060,4070336.631,2.1974,7,0B
#BS,461029,1,2,346574.060,4070,0C
#CS,1504,1503,34
#RCR,1503,1504,67
