26.153,4069912.320,0.8564,7,3A
#HCS,auto,0.852,0.850,5A
#BS,40512,2,1,341726.917,4069911.769,0.8505,5,3C
#CS,1503,1499,31
#RCR,1493,1500,6B
#HCS,auto,0.852,0.849,52
#BS,40561,2,1,341726.961,4069911.750,0.8495,5,3B
#CS,1503,1499,31
#RCR,1492,1500,6A
#HCS,auto,0.852,0.850,5A
#BS,40610,2,1,341726.961,4069911.750,0.8503,5,30
#CS,1503,1490,38
#RCR,1498,1490,68
#HCS,auto,0.852,0.850,5A
#BS,40659,2,1,341726.961,4069911.750,0.8503,5,3D
#CS,1503,1490,38
#RCR,1499,1491,68
#HCS,auto,0.852,0.851,5B
#CS,1503,1487,3E
#RCR,1494,1488,6D
#HCS,auto,0.852,0.851,5B
#BS,40740,2,1,341726.961,4069911.750,0.8514,5,32
#CS,1503,1479,3F
#RCR,1492,1480,63
#HCS,auto,0.852,0.852,58
#BS,40789,2,1,341726.961,4069911.750,0.8517,5,34
#CS,1503,1495,3D
#RCR,1500,1496,6E
#HCS,auto,0.852,0.852,58
#BS,40840,2,1,341726.961,4069911.750,0.8522,5,38
#CS,1503,1477,31
#RCR,1508,1478,66
#HCS,auto,0.852,0.852,58
#BS,40889,2,1,341726.961,4069911.750,0.8524,5,3B
#CS,1503,1494,3C
#RCR,1496,1495,63
#HCS,auto,0.852,0.853,59
#BS,40938,2,1,341726.961,4069911.750,0.8533,5,36
#CS,1503,1498,30
#RCR,1497,1499,6E
#HCS,auto,0.852,0.854,5E
#BS,40987,2,1,341726.961,4069911.750,0.8538,5,39
#CS,1503,1502,32
#RCR,1507,1503,64
#HCS,auto,0.852,0.854,5E
#BS,41036,2,1,341726.961,4069911.750,0.8540,5,34
#CS,1503,1499,31
#RCR,1498,1500,60
#HCS,auto,0.852,0.855,5F
#BS,41085,2,1,341726.961,4069911.750,0.8549,5,35
#CS,1503,1493,3B
#RCR,1486,1494,63
#HCS,auto,0.852,0.856,5C
#BS,41134,2,1,341726.961,4069911.750,0.8556,5,30
#CS,1503,1487,3E
#RCR,1490,1488,69
#HCS,auto,0.852,0.856,5C
#BS,41183,2,1,341726.961,4069911.750,0.8561,5,38
#CS,1503,1501,31
#RCR,1494,1502,6E
#HCS,auto,0.852,0.856,5C
#BS,41232,2,1,341726.961,4069911.750,0.8557,5,34
#CS,1503,1488,31
#RCR,1499,1489,61
#HCS,auto,0.852,0.856,5C
#BS,41281,2,1,341726.961,4069911.750,0.8564,5,3C
#CS,1503,1487,3E
#RCR,1499,1488,60
#HCS,auto,0.852,0.857,5D
#BS,41330,2,1,341726.961,4069911.750,0.8573,5,31
#CS,1503,1499,31
#RCR,1487,1500,6E
#HCS,auto,0.852,0.857,5D
#BS,41379,2,1,341726.961,4069911.750,0.8568,5,36
#CS,1503,1498,30
#RCR,1494,1498,6C
#HCS,auto,0.852,0.857,5D
#BS,41428,2,1,341726.961,4069911.750,0.8575,5,39
#CS,1503,1491,39
#RCR,1500,1492,6A
#HCS,auto,0.852,0.858,52
#BS,41477,2,1,341726.961,4069911.750,0.8582,5,3B
#CS,1503,1499,31
#RCR,1499,1500,61
#HCS,auto,0.852,0.858,52
#BS,41528,2,1,341726.961,4069911.750,0.8578,5,35
#CS,1503,1495,3D
#RCR,1506,1496,68
#HCS,auto,0.852,0.858,52
#BS,41577,2,1,341727.020,4069911.675,0.8577,5,3B
#CS,1503,1491,39
#RCR,1500,1492,6A
#HCS,auto,0.852,0.858,52
#BS,41625,2,1,341727.020,4069911.675,0.8578,5,30
#CS,1503,1488,31
#RCR,1500,1489,60
#HCS,auto,0.852,0.857,5D
#BS,41675,2,1,341727.020,4069911.675,0.8575,5,38
#CS,1503,1487,3E
#RCR,1507,1488,66
#HCS,auto,0.852,0.856,5C
#CS,1503,1498,30
#RCR,1504,1499,65
#HCS,auto,0.852,0.856,5C
#BS,41756,2,1,341727.020,4069911.675,0.8563,5,3F
#CS,1503,1495,3D
#RCR,1495,1496,63
#HCS,auto,0.852,0.855,5F
#BS,41805,2,1,341727.020,4069911.675,0.8554,5,32
#CS,1503,1499,31
#RCR,1499,1500,61
LP:21.0 IMU:51.0 GGA:10.0 RC1:21.0 RC2:21.0
#HCS,auto,0.852,0.855,5F
#BS,41869,2,1,341727.020,4069911.675,0.8547,5,3A
#CS,1503,1495,3D
#RCR,1498,1496,6E
#HCS,auto,0.852,0.854,5E
#BS,41918,2,1,341727.020,4069911.675,0.8536,5,3B
#CS,1503,1487,3E
#RCR,1499,1488,60
#HCS,auto,0.852,0.853,59
#BS,41969,2,1,341727.020,4069911.675,0.8533,5,38
#CS,1503,1487,3E
#RCR,1494,1488,6D
#HCS,auto,0.852,0.855,5F
#BS,42018,2,1,341727.020,4069911.675,0.8550,5,31
#CS,1503,1490,38
#RCR,1494,1491,65
#HCS,auto,0.852,0.856,5C
#BS,42067,2,1,341727.020,4069911.675,0.8561,5,3B
#CS,1503,1495,3D
#RCR,1500,1496,6E
#HCS,auto,0.852,0.856,5C
#BS,42116,2,1,341727.020,4069911.675,0.8563,5,3E
